Rank,Feature,SFS_SVM,SFS_KNN,SFS_LR,SFS_DT,SFS_RF,SFS_XGB,SFS_MLP
1,wbdur_all_p90_w,1.0,,,4.0,3.0,2.0,6.0
2,cadence_30_p90_w,2.0,,,,,,
3,wbdur_all_avg_w,3.0,4.0,,1.0,1.0,5.0,5.0
4,wb_all_sum_w,4.0,,,,,,
5,cadence_30_avg_w,5.0,3.0,,2.0,2.0,,
6,wbsteps_all_sum_w,6.0,,,,,,
7,ws_10_p90_w,,2.0,4.0,,,1.0,3.0
8,strdur_all_var_w,,,1.0,,,4.0,1.0
9,ws_30_p90_w,,,2.0,,,,
10,age,,,3.0,,,,
11,n_days_w,,,5.0,3.0,,3.0,2.0
12,walkdur_all_sum_w,,,,5.0,4.0,,
13,gender,,,,6.0,,,
14,strdur_30_avg_w,,,,7.0,,,
15,ws_30_var_w,,,,8.0,,,
16,wb_60_sum_w,,,,,,6.0,
17,ws_1030_avg_w,,,,,,,4.0
