Rank,Feature,SFS_SVM,SFS_KNN,SFS_LR,SFS_DT,SFS_RF,SFS_XGB,SFS_MLP
1,strdur_all_var_w,1.0,,3.0,,,,2.0
2,wbsteps_all_sum_w,2.0,6.0,,,,,
3,wbdur_all_var_w,3.0,8.0,,,,,
4,cadence_all_avg_w,4.0,12.0,,,,,
5,cadence_all_var_w,5.0,,,,,,
6,ws_30_p90_w,6.0,,,,,,
7,wb_10_sum_w,,1.0,,,,1.0,
8,wb_30_sum_w,,2.0,1.0,,,,3.0
9,age,,3.0,,,,,
10,strlen_30_avg_w,,4.0,,,1.0,,
11,ws_30_avg_w,,5.0,,,,,
12,wbdur_all_avg_w,,7.0,,,,,
13,n_days_w,,9.0,2.0,,2.0,4.0,
14,wb_all_sum_w,,10.0,,,,,
15,walkdur_all_sum_w,,11.0,,1.0,,,
16,wb_60_sum_w,,13.0,,,,,
17,time_since_diag,,14.0,,,,,
18,strdur_all_avg_w,,,,,,2.0,
19,gender,,,,,,3.0,
20,ws_1030_avg_w,,,,,,,1.0
21,strlen_30_var_w,,,,,,,4.0
22,ws_10_p90_w,,,,,,,5.0
